x, n, Answer
Continous, Continous, Continous
-1, 2, -0.761594
-0.99, 2, -0.757362
-0.98, 2, -0.753066
-0.97, 2, -0.748704
-0.96, 2, -0.744277
-0.95, 2, -0.739783
-0.94, 2, -0.735222
-0.93, 2, -0.730594
-0.92, 2, -0.725897
-0.91, 2, -0.721132
-0.9, 2, -0.716298
-0.89, 2, -0.711394
-0.88, 2, -0.706419
-0.87, 2, -0.701374
-0.86, 2, -0.696258
-0.85, 2, -0.691069
-0.84, 2, -0.685809
-0.83, 2, -0.680476
-0.82, 2, -0.67507
-0.81, 2, -0.66959
-0.8, 2, -0.664037
-0.79, 2, -0.658409
-0.78, 2, -0.652707
-0.77, 2, -0.646929
-0.76, 2, -0.641077
-0.75, 2, -0.635149
-0.74, 2, -0.629145
-0.73, 2, -0.623065
-0.72, 2, -0.616909
-0.71, 2, -0.610677
-0.7, 2, -0.604368
-0.69, 2, -0.597982
-0.68, 2, -0.591519
-0.67, 2, -0.58498
-0.66, 2, -0.578363
-0.65, 2, -0.57167
-0.64, 2, -0.5649
-0.63, 2, -0.558052
-0.62, 2, -0.551128
-0.61, 2, -0.544127
-0.6, 2, -0.53705
-0.59, 2, -0.529896
-0.58, 2, -0.522665
-0.57, 2, -0.515359
-0.56, 2, -0.507977
-0.55, 2, -0.50052
-0.54, 2, -0.492988
-0.53, 2, -0.485381
-0.52, 2, -0.4777
-0.51, 2, -0.469945
-0.5, 2, -0.462117
-0.49, 2, -0.454216
-0.48, 2, -0.446244
-0.47, 2, -0.438199
-0.46, 2, -0.430084
-0.45, 2, -0.421899
-0.44, 2, -0.413644
-0.43, 2, -0.405321
-0.42, 2, -0.39693
-0.41, 2, -0.388473
-0.4, 2, -0.379949
-0.39, 2, -0.37136
-0.38, 2, -0.362707
-0.37, 2, -0.353992
-0.36, 2, -0.345214
-0.35, 2, -0.336376
-0.34, 2, -0.327477
-0.33, 2, -0.318521
-0.32, 2, -0.309507
-0.31, 2, -0.300437
-0.3, 2, -0.291313
-0.29, 2, -0.282135
-0.28, 2, -0.272905
-0.27, 2, -0.263625
-0.26, 2, -0.254296
-0.25, 2, -0.244919
-0.24, 2, -0.235496
-0.23, 2, -0.226028
-0.22, 2, -0.216518
-0.21, 2, -0.206966
-0.2, 2, -0.197375
-0.19, 2, -0.187746
-0.18, 2, -0.178081
-0.17, 2, -0.168381
-0.16, 2, -0.158649
-0.15, 2, -0.148885
-0.14, 2, -0.139092
-0.13, 2, -0.129273
-0.12, 2, -0.119427
-0.11, 2, -0.109558
-0.1, 2, -0.099668
-0.09, 2, -0.0897578
-0.08, 2, -0.0798298
-0.07, 2, -0.0698859
-0.06, 2, -0.0599281
-0.05, 2, -0.0499584
-0.04, 2, -0.0399787
-0.03, 2, -0.029991
-0.02, 2, -0.0199973
-0.01, 2, -0.00999967
0, 2, 0
0.01, 2, 0.00999967
0.02, 2, 0.0199973
0.03, 2, 0.029991
0.04, 2, 0.0399787
0.05, 2, 0.0499584
0.06, 2, 0.0599281
0.07, 2, 0.0698859
0.08, 2, 0.0798298
0.09, 2, 0.0897578
0.1, 2, 0.099668
0.11, 2, 0.109558
0.12, 2, 0.119427
0.13, 2, 0.129273
0.14, 2, 0.139092
0.15, 2, 0.148885
0.16, 2, 0.158649
0.17, 2, 0.168381
0.18, 2, 0.178081
0.19, 2, 0.187746
0.2, 2, 0.197375
0.21, 2, 0.206966
0.22, 2, 0.216518
0.23, 2, 0.226028
0.24, 2, 0.235496
0.25, 2, 0.244919
0.26, 2, 0.254296
0.27, 2, 0.263625
0.28, 2, 0.272905
0.29, 2, 0.282135
0.3, 2, 0.291313
0.31, 2, 0.300437
0.32, 2, 0.309507
0.33, 2, 0.318521
0.34, 2, 0.327477
0.35, 2, 0.336376
0.36, 2, 0.345214
0.37, 2, 0.353992
0.38, 2, 0.362707
0.39, 2, 0.37136
0.4, 2, 0.379949
0.41, 2, 0.388473
0.42, 2, 0.39693
0.43, 2, 0.405321
0.44, 2, 0.413644
0.45, 2, 0.421899
0.46, 2, 0.430084
0.47, 2, 0.438199
0.48, 2, 0.446244
0.49, 2, 0.454216
0.5, 2, 0.462117
0.51, 2, 0.469945
0.52, 2, 0.4777
0.53, 2, 0.485381
0.54, 2, 0.492988
0.55, 2, 0.50052
0.56, 2, 0.507977
0.57, 2, 0.515359
0.58, 2, 0.522665
0.59, 2, 0.529896
0.6, 2, 0.53705
0.61, 2, 0.544127
0.62, 2, 0.551128
0.63, 2, 0.558052
0.64, 2, 0.5649
0.65, 2, 0.57167
0.66, 2, 0.578363
0.67, 2, 0.58498
0.68, 2, 0.591519
0.69, 2, 0.597982
0.7, 2, 0.604368
0.71, 2, 0.610677
0.72, 2, 0.616909
0.73, 2, 0.623065
0.74, 2, 0.629145
0.75, 2, 0.635149
0.76, 2, 0.641077
0.77, 2, 0.646929
0.78, 2, 0.652707
0.79, 2, 0.658409
0.8, 2, 0.664037
0.81, 2, 0.66959
0.82, 2, 0.67507
0.83, 2, 0.680476
0.84, 2, 0.685809
0.85, 2, 0.691069
0.86, 2, 0.696258
0.87, 2, 0.701374
0.88, 2, 0.706419
0.89, 2, 0.711394
0.9, 2, 0.716298
0.91, 2, 0.721132
0.92, 2, 0.725897
0.93, 2, 0.730594
0.94, 2, 0.735222
0.95, 2, 0.739783
0.96, 2, 0.744277
0.97, 2, 0.748704
0.98, 2, 0.753066
0.99, 2, 0.757362
