a, b, c, d, e, f, g, h, i, Determinant
Continous, Continous, Continous, Continous, Continous, Continous, Continous, Continous, Continous, Continous
7, 2, 5, 3, 2, 8, 5, 3, 4, -61
10, 4, 5, 9, 1, 10, 4, 3, 6, -181
9, 10, 9, 10, 6, 3, 7, 8, 6, 60
7, 5, 5, 7, 2, 9, 6, 2, 6, 28
5, 9, 2, 3, 1, 1, 2, 4, 5, -92
6, 5, 8, 4, 6, 3, 4, 5, 8, 66
5, 4, 7, 4, 10, 3, 1, 3, 4, 117
6, 6, 4, 1, 7, 10, 3, 5, 8, 104
7, 7, 5, 4, 1, 5, 1, 10, 9, -309
1, 5, 2, 4, 10, 1, 1, 10, 9, -35
7, 9, 5, 9, 7, 5, 5, 7, 6, -72
10, 10, 6, 8, 10, 8, 7, 3, 4, 124
3, 6, 10, 7, 8, 2, 7, 6, 3, -146
5, 2, 4, 7, 5, 5, 9, 2, 3, -51
10, 3, 1, 3, 4, 7, 5, 6, 1, -286
3, 4, 2, 6, 8, 4, 9, 8, 8, 0
4, 8, 6, 1, 7, 2, 4, 4, 9, 68
7, 10, 3, 7, 4, 9, 3, 8, 3, -228
1, 3, 2, 7, 9, 2, 8, 2, 4, -120
9, 10, 7, 9, 4, 8, 7, 2, 3, 184
4, 7, 1, 1, 1, 10, 6, 6, 9, 153
7, 9, 1, 8, 10, 2, 3, 4, 7, -14
8, 7, 8, 10, 5, 1, 10, 3, 3, -204
8, 1, 10, 7, 2, 1, 4, 1, 3, 13
4, 6, 1, 2, 5, 6, 7, 3, 4, 183
8, 4, 3, 6, 8, 5, 6, 7, 7, 102
1, 8, 8, 7, 8, 7, 10, 2, 3, -126
7, 8, 8, 9, 3, 1, 6, 3, 5, -156
4, 3, 7, 2, 10, 8, 3, 5, 7, 10
8, 10, 6, 10, 1, 3, 1, 6, 8, -496
5, 6, 8, 3, 8, 4, 8, 6, 1, -274
8, 2, 9, 7, 6, 6, 7, 8, 7, 64
1, 9, 7, 7, 3, 8, 4, 4, 6, 8
3, 5, 8, 10, 1, 4, 6, 6, 10, 10
6, 4, 1, 8, 10, 3, 8, 9, 7, 122
5, 10, 9, 2, 10, 2, 9, 5, 3, -500
7, 5, 7, 10, 4, 4, 9, 3, 2, 10
1, 1, 5, 6, 8, 5, 7, 10, 9, 23
7, 3, 4, 2, 5, 9, 5, 8, 7, -202
1, 6, 1, 6, 2, 7, 8, 5, 4, 179
6, 10, 7, 9, 7, 6, 2, 3, 1, 55
1, 6, 7, 8, 2, 1, 7, 1, 9, -415
7, 2, 6, 3, 5, 6, 6, 8, 10, -10
5, 2, 9, 10, 1, 9, 7, 5, 2, 258
4, 10, 1, 8, 6, 10, 9, 3, 9, 246
9, 1, 4, 4, 9, 7, 2, 4, 8, 370
4, 1, 3, 10, 4, 4, 10, 6, 2, 16
7, 7, 8, 1, 8, 8, 6, 1, 7, 247
2, 6, 9, 9, 4, 7, 1, 5, 2, 249
1, 7, 8, 10, 9, 9, 2, 8, 5, 245
8, 5, 8, 4, 10, 6, 1, 6, 7, 274
2, 5, 3, 7, 7, 8, 5, 6, 4, 41
5, 7, 6, 3, 6, 5, 5, 6, 3, -20
7, 2, 9, 1, 8, 8, 3, 7, 6, -173
10, 4, 5, 10, 9, 10, 6, 10, 3, -380
10, 9, 9, 1, 6, 1, 1, 10, 2, 47
3, 1, 2, 2, 10, 9, 2, 9, 1, -201
4, 4, 8, 10, 2, 5, 4, 10, 4, 488
10, 1, 8, 1, 2, 4, 10, 3, 6, -102
9, 2, 1, 10, 2, 4, 7, 10, 1, -220
2, 5, 2, 1, 5, 6, 6, 6, 10, 110
5, 2, 3, 5, 4, 4, 8, 2, 3, -12
8, 5, 8, 8, 4, 6, 5, 10, 8, 86
3, 3, 10, 4, 4, 3, 6, 4, 10, -62
10, 9, 8, 6, 1, 8, 1, 1, 9, -364
6, 8, 10, 9, 10, 9, 7, 6, 3, -16
5, 1, 9, 3, 1, 10, 9, 6, 1, -127
3, 8, 1, 10, 2, 5, 3, 10, 8, -528
6, 7, 10, 8, 3, 4, 7, 5, 9, -76
1, 3, 9, 8, 8, 8, 8, 9, 9, 48
3, 5, 5, 1, 7, 10, 6, 2, 4, 104
7, 9, 10, 3, 9, 10, 5, 5, 4, -56
9, 10, 5, 2, 1, 3, 6, 6, 3, 15
3, 1, 10, 2, 1, 9, 8, 6, 8, -42
2, 9, 8, 6, 10, 2, 1, 7, 7, 8
9, 2, 9, 8, 4, 10, 10, 10, 4, -260
3, 8, 2, 6, 8, 10, 7, 1, 2, 382
9, 9, 3, 7, 3, 7, 4, 7, 2, -150
7, 2, 2, 3, 7, 6, 10, 3, 8, 216
10, 5, 6, 3, 3, 6, 5, 2, 3, 21
6, 3, 2, 9, 10, 5, 4, 8, 9, 181
7, 1, 4, 4, 8, 8, 2, 6, 4, -80
10, 3, 4, 8, 9, 6, 5, 10, 10, 290
7, 2, 4, 2, 2, 2, 2, 6, 3, -14
2, 4, 10, 8, 3, 3, 2, 8, 2, 504
5, 9, 6, 2, 7, 7, 8, 2, 9, 275
2, 1, 7, 3, 4, 7, 10, 6, 5, -143
5, 1, 5, 7, 5, 7, 1, 8, 6, 90
3, 7, 3, 8, 3, 1, 9, 10, 2, 98
9, 3, 1, 4, 6, 5, 10, 8, 10, 182
1, 9, 3, 4, 10, 2, 2, 8, 9, -178
4, 7, 10, 10, 1, 2, 8, 2, 8, -312
2, 3, 2, 4, 4, 8, 2, 3, 3, -4
1, 7, 9, 7, 8, 6, 3, 5, 2, 113
5, 2, 1, 9, 3, 4, 3, 4, 6, -47
7, 7, 7, 5, 6, 10, 10, 10, 6, -28
9, 5, 9, 7, 9, 9, 2, 8, 7, 106
7, 3, 10, 9, 5, 2, 5, 3, 4, 40
6, 1, 10, 6, 4, 2, 9, 7, 6, 102
1, 2, 2, 1, 1, 2, 9, 3, 3, 15
7, 9, 5, 5, 7, 9, 4, 9, 7, -130
8, 2, 6, 2, 5, 10, 10, 2, 8, 52
8, 1, 9, 6, 1, 2, 7, 10, 2, 335
4, 3, 2, 4, 1, 7, 8, 4, 2, 56
7, 3, 5, 5, 10, 9, 6, 3, 4, -32
2, 6, 5, 10, 9, 5, 6, 8, 4, 62
10, 5, 8, 3, 5, 8, 3, 8, 3, -343
7, 5, 8, 4, 3, 2, 6, 10, 2, 98
6, 5, 2, 6, 10, 4, 2, 1, 2, 48
6, 6, 7, 7, 2, 1, 6, 2, 5, -112
5, 4, 8, 8, 2, 9, 5, 2, 1, 116
8, 3, 9, 10, 6, 8, 9, 5, 2, -104
3, 10, 2, 10, 3, 3, 1, 9, 6, -423
9, 7, 9, 3, 4, 10, 10, 3, 3, 196
5, 2, 3, 9, 10, 7, 1, 6, 1, -32
7, 1, 9, 5, 1, 1, 10, 2, 6, 8
9, 2, 3, 4, 10, 8, 8, 3, 10, 528
2, 1, 4, 4, 6, 6, 9, 2, 9, -82
9, 10, 5, 6, 8, 5, 4, 5, 10, 85
10, 8, 9, 2, 8, 1, 8, 4, 5, -160
9, 5, 9, 6, 7, 5, 6, 4, 6, 6
4, 7, 2, 7, 1, 8, 9, 8, 8, -18
2, 5, 10, 2, 2, 3, 9, 8, 4, 43
6, 2, 4, 10, 10, 8, 10, 1, 2, -168
5, 5, 7, 7, 6, 7, 3, 5, 7, 14
3, 9, 4, 3, 4, 7, 7, 8, 7, 152
3, 4, 6, 9, 7, 6, 3, 9, 9, 135
7, 5, 5, 2, 10, 4, 4, 8, 6, 96
9, 5, 4, 4, 4, 8, 2, 9, 3, -408
1, 7, 7, 3, 7, 7, 8, 2, 1, 14
9, 9, 5, 4, 9, 3, 7, 2, 10, 310
7, 3, 8, 5, 9, 8, 7, 3, 10, 96
7, 5, 5, 3, 10, 7, 3, 5, 5, 60
9, 2, 3, 6, 10, 9, 3, 8, 3, -306
1, 4, 7, 9, 2, 3, 9, 5, 5, 112
4, 9, 8, 7, 8, 7, 10, 2, 3, -47
1, 10, 10, 4, 7, 3, 6, 1, 1, -236
3, 10, 2, 9, 4, 5, 4, 9, 9, -507
9, 4, 10, 6, 6, 4, 1, 10, 4, 316
6, 1, 3, 2, 6, 10, 9, 4, 2, -220
4, 7, 6, 2, 4, 9, 8, 7, 6, 156
6, 4, 8, 2, 1, 5, 1, 1, 8, -18
5, 7, 8, 8, 8, 6, 6, 5, 1, 22
10, 3, 10, 10, 7, 1, 6, 2, 9, 138
4, 8, 3, 10, 6, 2, 5, 2, 8, -414
4, 7, 4, 6, 6, 8, 5, 10, 5, -10
1, 4, 8, 7, 1, 7, 9, 9, 8, 405
6, 3, 9, 7, 9, 8, 1, 4, 10, 333
