A1, A2, A3, B1, B2, B3, C1, C2, C3, Norm
Continous, Continous, Continous, Continous, Continous, Continous, Continous, Continous, Continous, Continous
3, 7, 9, 4, 9, 1, 3, 4, 2, 16.3095
4, 2, 9, 8, 9, 10, 7, 10, 2, 27.6586
3, 1, 2, 6, 6, 4, 5, 7, 8, 31.7017
1, 9, 3, 4, 6, 1, 5, 10, 10, 37.0675
3, 8, 5, 10, 1, 8, 9, 7, 1, 42.0476
6, 8, 3, 9, 1, 9, 7, 7, 9, 47.1063
7, 7, 4, 1, 3, 5, 9, 4, 3, 49.7393
4, 6, 3, 4, 1, 1, 7, 9, 8, 52.4118
1, 7, 3, 8, 1, 9, 5, 4, 4, 54.8544
9, 3, 9, 5, 5, 10, 8, 7, 8, 59.2199
2, 3, 3, 7, 5, 1, 5, 4, 5, 60.5805
8, 3, 5, 3, 2, 7, 9, 6, 2, 62.857
2, 10, 3, 4, 1, 3, 5, 7, 2, 64.56
3, 7, 3, 6, 8, 8, 2, 6, 8, 67.1044
10, 5, 7, 6, 9, 3, 6, 4, 7, 70.0286
2, 8, 7, 8, 4, 3, 5, 2, 4, 71.7983
10, 9, 7, 10, 4, 10, 4, 2, 6, 75.213
1, 2, 8, 9, 3, 3, 1, 4, 2, 76.4591
2, 10, 10, 7, 3, 4, 9, 2, 1, 78.8036
5, 2, 8, 7, 8, 8, 3, 3, 7, 80.9135
3, 7, 2, 3, 5, 5, 7, 6, 7, 82.4742
4, 1, 3, 1, 9, 6, 6, 10, 9, 84.6345
6, 4, 7, 2, 7, 6, 6, 9, 9, 86.8965
4, 6, 1, 7, 6, 10, 2, 3, 7, 88.6059
2, 4, 4, 6, 10, 5, 1, 1, 2, 89.7441
7, 9, 7, 6, 9, 10, 1, 3, 4, 92.0652
6, 6, 4, 2, 5, 4, 2, 4, 9, 93.3274
9, 10, 3, 10, 9, 10, 5, 3, 10, 96.5142
9, 8, 10, 8, 8, 3, 10, 3, 9, 99.4334
1, 3, 4, 6, 3, 9, 2, 6, 10, 100.891
10, 1, 4, 8, 4, 3, 2, 10, 10, 102.903
6, 2, 3, 9, 3, 10, 7, 10, 9, 105.157
5, 3, 5, 9, 8, 7, 1, 7, 4, 106.663
