Ax1, Ax2, Ax3, B1x, B2x, B3x, Cxx
Continous, Continous, Continous, Continous, Continous, Continous, Continous
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
48, 48, 22, 17, 48, 8, 3296
48, 48, 22, 1, 48, 4, 2440
48, 48, 22, 16, 22, 48, 2880
8, 4, 48, 17, 48, 8, 712
8, 4, 48, 1, 48, 4, 392
8, 4, 48, 16, 22, 48, 2520
17, 1, 16, 17, 48, 8, 465
17, 1, 16, 1, 48, 4, 129
17, 1, 16, 16, 22, 48, 1062
