x, Answer
Continous, Continous
1, 0.75
2, 5
3, 20.5
4, 54.75
5, 115.25
6, 209.5
7, 345
8, 529.25
9, 769.75
10, 1074
11, 1449.5
12, 1903.75
13, 2444.25
14, 3078.5
15, 3814
16, 4658.25
17, 5618.75
18, 6703
19, 7918.5
20, 9272.75
21, 10773.2
22, 12427.5
23, 14243
24, 16227.2
25, 18387.8
26, 20732
27, 23267.5
28, 26001.8
29, 28942.2
30, 32096.5
31, 35472
32, 39076.2
33, 42916.8
34, 47001
35, 51336.5
36, 55930.8
37, 60791.2
38, 65925.5
39, 71341
40, 77045.2
41, 83045.8
42, 89350
43, 95965.5
44, 102900
45, 110160
46, 117754
47, 125690
48, 133974
49, 142615
50, 151619
51, 160994
52, 170749
53, 180889
54, 191424
55, 202359
56, 213703
57, 225464
58, 237648
59, 250264
60, 263318
61, 276818
62, 290772
63, 305188
64, 320072
65, 335433
66, 351277
67, 367612
68, 384447
69, 401787
70, 419642
71, 438017
72, 456921
73, 476362
74, 496346
75, 516882
76, 537976
77, 559636
78, 581870
79, 604686
80, 628090
81, 652091
82, 676695
83, 701910
84, 727745
85, 754205
86, 781300
87, 809035
88, 837419
89, 866460
90, 896164
91, 926540
92, 957594
93, 989334
94, 1.02177e+06
95, 1.0549e+06
96, 1.08875e+06
97, 1.12331e+06
98, 1.15859e+06
99, 1.19461e+06
100, 1.23136e+06
101, 1.26886e+06
102, 1.30712e+06
103, 1.34613e+06
104, 1.38592e+06
105, 1.42648e+06
106, 1.46782e+06
107, 1.50996e+06
108, 1.55289e+06
109, 1.59663e+06
110, 1.64119e+06
111, 1.68656e+06
112, 1.73277e+06
113, 1.77981e+06
114, 1.82769e+06
115, 1.87643e+06
116, 1.92602e+06
117, 1.97648e+06
118, 2.02782e+06
119, 2.08003e+06
120, 2.13314e+06
121, 2.18714e+06
122, 2.24204e+06
123, 2.29786e+06
124, 2.35459e+06
125, 2.41225e+06
126, 2.47084e+06
127, 2.53038e+06
128, 2.59086e+06
129, 2.6523e+06
130, 2.71471e+06
131, 2.77808e+06
132, 2.84244e+06
133, 2.90778e+06
134, 2.97411e+06
135, 3.04145e+06
136, 3.10979e+06
137, 3.17915e+06
138, 3.24954e+06
139, 3.32095e+06
140, 3.39341e+06
141, 3.46691e+06
142, 3.54146e+06
143, 3.61708e+06
144, 3.69376e+06
145, 3.77152e+06
146, 3.85037e+06
147, 3.9303e+06
148, 4.01134e+06
149, 4.09348e+06
150, 4.17673e+06
151, 4.26111e+06
152, 4.34661e+06
153, 4.43325e+06
154, 4.52104e+06
155, 4.60997e+06
156, 4.70007e+06
157, 4.79133e+06
158, 4.88376e+06
159, 4.97738e+06
160, 5.07218e+06
161, 5.16818e+06
162, 5.26538e+06
163, 5.3638e+06
164, 5.46343e+06
165, 5.5643e+06
166, 5.66639e+06
167, 5.76972e+06
168, 5.87431e+06
169, 5.98015e+06
170, 6.08725e+06
171, 6.19563e+06
172, 6.30528e+06
173, 6.41622e+06
174, 6.52846e+06
175, 6.64199e+06
176, 6.75684e+06
177, 6.873e+06
178, 6.99048e+06
179, 7.1093e+06
180, 7.22945e+06
181, 7.35095e+06
182, 7.47381e+06
183, 7.59802e+06
184, 7.72361e+06
185, 7.85057e+06
186, 7.97891e+06
187, 8.10865e+06
188, 8.23978e+06
189, 8.37232e+06
190, 8.50628e+06
191, 8.64165e+06
192, 8.77846e+06
193, 8.9167e+06
194, 9.05638e+06
195, 9.19752e+06
196, 9.34011e+06
197, 9.48417e+06
198, 9.62971e+06
199, 9.77672e+06
200, 9.92523e+06
201, 1.00752e+07
202, 1.02267e+07
203, 1.03797e+07
204, 1.05343e+07
205, 1.06903e+07
206, 1.08479e+07
207, 1.10071e+07
208, 1.11678e+07
209, 1.133e+07
210, 1.14938e+07
211, 1.16592e+07
212, 1.18261e+07
213, 1.19947e+07
214, 1.21648e+07
215, 1.23365e+07
216, 1.25099e+07
217, 1.26848e+07
218, 1.28614e+07
219, 1.30396e+07
220, 1.32195e+07
221, 1.3401e+07
222, 1.35842e+07
223, 1.3769e+07
224, 1.39555e+07
225, 1.41436e+07
226, 1.43335e+07
227, 1.4525e+07
228, 1.47182e+07
229, 1.49132e+07
230, 1.51098e+07
231, 1.53082e+07
232, 1.55083e+07
233, 1.57101e+07
234, 1.59137e+07
235, 1.61191e+07
236, 1.63262e+07
237, 1.6535e+07
238, 1.67457e+07
239, 1.69581e+07
240, 1.71723e+07
241, 1.73883e+07
242, 1.76061e+07
243, 1.78257e+07
244, 1.80471e+07
245, 1.82704e+07
246, 1.84955e+07
247, 1.87224e+07
248, 1.89512e+07
249, 1.91818e+07
250, 1.94143e+07
251, 1.96487e+07
252, 1.9885e+07
253, 2.01231e+07
254, 2.03631e+07
255, 2.06051e+07
256, 2.08489e+07
257, 2.10947e+07
258, 2.13424e+07
259, 2.1592e+07
260, 2.18435e+07
261, 2.2097e+07
262, 2.23525e+07
263, 2.26099e+07
264, 2.28693e+07
265, 2.31307e+07
266, 2.3394e+07
267, 2.36593e+07
268, 2.39267e+07
269, 2.4196e+07
270, 2.44674e+07
271, 2.47407e+07
272, 2.50161e+07
273, 2.52936e+07
274, 2.55731e+07
275, 2.58546e+07
276, 2.61382e+07
277, 2.64239e+07
278, 2.67116e+07
279, 2.70014e+07
280, 2.72933e+07
281, 2.75873e+07
282, 2.78834e+07
283, 2.81816e+07
284, 2.8482e+07
285, 2.87844e+07
286, 2.9089e+07
287, 2.93958e+07
288, 2.97046e+07
289, 3.00157e+07
290, 3.03289e+07
291, 3.06443e+07
292, 3.09618e+07
293, 3.12816e+07
294, 3.16035e+07
295, 3.19276e+07
296, 3.2254e+07
297, 3.25825e+07
298, 3.29133e+07
299, 3.32463e+07
300, 3.35816e+07
301, 3.39191e+07
302, 3.42588e+07
303, 3.46009e+07
304, 3.49451e+07
305, 3.52917e+07
306, 3.56405e+07
307, 3.59917e+07
308, 3.63451e+07
309, 3.67009e+07
310, 3.70589e+07
311, 3.74193e+07
312, 3.7782e+07
313, 3.8147e+07
314, 3.85144e+07
315, 3.88842e+07
316, 3.92562e+07
317, 3.96307e+07
318, 4.00075e+07
319, 4.03868e+07
320, 4.07684e+07
321, 4.11524e+07
322, 4.15388e+07
323, 4.19276e+07
324, 4.23188e+07
325, 4.27125e+07
326, 4.31086e+07
327, 4.35071e+07
328, 4.39081e+07
329, 4.43115e+07
330, 4.47174e+07
331, 4.51258e+07
332, 4.55367e+07
333, 4.595e+07
334, 4.63658e+07
335, 4.67842e+07
336, 4.7205e+07
337, 4.76284e+07
338, 4.80543e+07
339, 4.84827e+07
340, 4.89136e+07
341, 4.93471e+07
342, 4.97832e+07
343, 5.02218e+07
344, 5.0663e+07
345, 5.11067e+07
346, 5.15531e+07
347, 5.2002e+07
348, 5.24536e+07
349, 5.29077e+07
350, 5.33645e+07
351, 5.38238e+07
352, 5.42858e+07
353, 5.47505e+07
354, 5.52178e+07
355, 5.56877e+07
356, 5.61603e+07
357, 5.66356e+07
358, 5.71135e+07
359, 5.75941e+07
360, 5.80774e+07
361, 5.85634e+07
362, 5.90521e+07
363, 5.95435e+07
364, 6.00377e+07
365, 6.05345e+07
366, 6.10341e+07
367, 6.15364e+07
368, 6.20415e+07
369, 6.25494e+07
370, 6.306e+07
371, 6.35734e+07
372, 6.40895e+07
373, 6.46084e+07
374, 6.51302e+07
375, 6.56547e+07
376, 6.61821e+07
377, 6.67122e+07
378, 6.72452e+07
379, 6.7781e+07
380, 6.83197e+07
381, 6.88612e+07
382, 6.94055e+07
383, 6.99527e+07
384, 7.05028e+07
385, 7.10558e+07
386, 7.16116e+07
387, 7.21704e+07
388, 7.2732e+07
389, 7.32965e+07
390, 7.3864e+07
391, 7.44344e+07
392, 7.50077e+07
393, 7.55839e+07
394, 7.61631e+07
395, 7.67452e+07
396, 7.73303e+07
397, 7.79184e+07
398, 7.85094e+07
399, 7.91034e+07
400, 7.97005e+07
401, 8.03005e+07
402, 8.09035e+07
403, 8.15095e+07
404, 8.21185e+07
405, 8.27306e+07
406, 8.33457e+07
407, 8.39638e+07
408, 8.4585e+07
409, 8.52092e+07
410, 8.58365e+07
411, 8.64669e+07
412, 8.71004e+07
413, 8.77369e+07
414, 8.83765e+07
415, 8.90193e+07
416, 8.96651e+07
417, 9.03141e+07
418, 9.09662e+07
419, 9.16214e+07
420, 9.22797e+07
421, 9.29412e+07
422, 9.36059e+07
423, 9.42737e+07
424, 9.49447e+07
425, 9.56188e+07
426, 9.62962e+07
427, 9.69767e+07
428, 9.76605e+07
429, 9.83474e+07
430, 9.90375e+07
431, 9.97309e+07
432, 1.00428e+08
433, 1.01127e+08
434, 1.0183e+08
435, 1.02537e+08
436, 1.03246e+08
437, 1.03959e+08
438, 1.04675e+08
439, 1.05395e+08
440, 1.06117e+08
441, 1.06843e+08
442, 1.07573e+08
443, 1.08305e+08
444, 1.09041e+08
445, 1.09781e+08
446, 1.10523e+08
447, 1.11269e+08
448, 1.12018e+08
449, 1.12771e+08
450, 1.13527e+08
451, 1.14286e+08
452, 1.15049e+08
453, 1.15815e+08
454, 1.16585e+08
455, 1.17358e+08
456, 1.18134e+08
457, 1.18914e+08
458, 1.19697e+08
459, 1.20484e+08
460, 1.21274e+08
461, 1.22067e+08
462, 1.22864e+08
463, 1.23665e+08
464, 1.24469e+08
465, 1.25276e+08
466, 1.26087e+08
467, 1.26901e+08
468, 1.27719e+08
469, 1.2854e+08
470, 1.29365e+08
471, 1.30193e+08
472, 1.31025e+08
473, 1.31861e+08
474, 1.327e+08
475, 1.33542e+08
476, 1.34388e+08
477, 1.35238e+08
478, 1.36091e+08
479, 1.36948e+08
480, 1.37809e+08
481, 1.38673e+08
482, 1.3954e+08
483, 1.40411e+08
484, 1.41286e+08
485, 1.42165e+08
486, 1.43047e+08
487, 1.43932e+08
488, 1.44822e+08
489, 1.45715e+08
490, 1.46612e+08
491, 1.47512e+08
492, 1.48416e+08
493, 1.49324e+08
494, 1.50235e+08
495, 1.5115e+08
496, 1.52069e+08
497, 1.52992e+08
498, 1.53918e+08
499, 1.54848e+08
500, 1.55782e+08
