x, Answer
Continous, Continous
-6, 0.00247262
-5.98, 0.00252245
-5.96, 0.00257327
-5.94, 0.00262512
-5.92, 0.00267801
-5.9, 0.00273196
-5.88, 0.002787
-5.86, 0.00284314
-5.84, 0.00290041
-5.82, 0.00295882
-5.8, 0.00301842
-5.78, 0.0030792
-5.76, 0.00314121
-5.74, 0.00320447
-5.72, 0.00326899
-5.7, 0.00333481
-5.68, 0.00340195
-5.66, 0.00347043
-5.64, 0.00354029
-5.62, 0.00361155
-5.6, 0.00368424
-5.58, 0.00375839
-5.56, 0.00383402
-5.54, 0.00391117
-5.52, 0.00398987
-5.5, 0.00407014
-5.48, 0.00415202
-5.46, 0.00423554
-5.44, 0.00432073
-5.42, 0.00440763
-5.4, 0.00449627
-5.38, 0.00458669
-5.36, 0.00467891
-5.34, 0.00477298
-5.32, 0.00486893
-5.3, 0.0049668
-5.28, 0.00506663
-5.26, 0.00516845
-5.24, 0.00527231
-5.22, 0.00537825
-5.2, 0.0054863
-5.18, 0.00559651
-5.16, 0.00570892
-5.14, 0.00582358
-5.12, 0.00594052
-5.1, 0.0060598
-5.08, 0.00618146
-5.06, 0.00630555
-5.04, 0.00643211
-5.02, 0.00656119
-5, 0.00669285
-4.98, 0.00682713
-4.96, 0.00696409
-4.94, 0.00710377
-4.92, 0.00724624
-4.9, 0.00739154
-4.88, 0.00753973
-4.86, 0.00769088
-4.84, 0.00784502
-4.82, 0.00800223
-4.8, 0.00816257
-4.78, 0.00832609
-4.76, 0.00849286
-4.74, 0.00866294
-4.72, 0.0088364
-4.7, 0.0090133
-4.68, 0.00919371
-4.66, 0.00937769
-4.64, 0.00956532
-4.62, 0.00975667
-4.6, 0.0099518
-4.58, 0.0101508
-4.56, 0.0103537
-4.54, 0.0105607
-4.52, 0.0107717
-4.5, 0.0109869
-4.48, 0.0112064
-4.46, 0.0114302
-4.44, 0.0116584
-4.42, 0.0118911
-4.4, 0.0121284
-4.38, 0.0123704
-4.36, 0.0126172
-4.34, 0.0128688
-4.32, 0.0131253
-4.3, 0.0133869
-4.28, 0.0136537
-4.26, 0.0139256
-4.24, 0.014203
-4.22, 0.0144857
-4.2, 0.014774
-4.18, 0.015068
-4.16, 0.0153677
-4.14, 0.0156733
-4.12, 0.0159848
-4.1, 0.0163025
-4.08, 0.0166264
-4.06, 0.0169565
-4.04, 0.0172932
-4.02, 0.0176363
-4, 0.0179862
-3.98, 0.0183429
-3.96, 0.0187065
-3.94, 0.0190772
-3.92, 0.0194551
-3.9, 0.0198403
-3.88, 0.020233
-3.86, 0.0206333
-3.84, 0.0210413
-3.82, 0.0214573
-3.8, 0.0218813
-3.78, 0.0223134
-3.76, 0.0227539
-3.74, 0.0232029
-3.72, 0.0236606
-3.7, 0.024127
-3.68, 0.0246024
-3.66, 0.025087
-3.64, 0.0255808
-3.62, 0.0260841
