x, Answer
Continous, Continous
-1, -3.19453
-0.99, -3.12137
-0.98, -3.04966
-0.97, -2.97938
-0.96, -2.91048
-0.95, -2.84295
-0.94, -2.77675
-0.93, -2.71187
-0.92, -2.64827
-0.91, -2.58593
-0.9, -2.52482
-0.89, -2.46493
-0.88, -2.40622
-0.87, -2.34867
-0.86, -2.29226
-0.85, -2.23697
-0.84, -2.18278
-0.83, -2.12966
-0.82, -2.07758
-0.81, -2.02655
-0.8, -1.97652
-0.79, -1.92748
-0.78, -1.87941
-0.77, -1.8323
-0.76, -1.78611
-0.75, -1.74084
-0.74, -1.69647
-0.73, -1.65298
-0.72, -1.61035
-0.71, -1.56856
-0.7, -1.5276
-0.69, -1.48745
-0.68, -1.4481
-0.67, -1.40952
-0.66, -1.37171
-0.65, -1.33465
-0.64, -1.29832
-0.63, -1.26271
-0.62, -1.22781
-0.61, -1.19359
-0.6, -1.16006
-0.59, -1.12719
-0.58, -1.09497
-0.57, -1.06338
-0.56, -1.03243
-0.55, -1.00208
-0.54, -0.97234
-0.53, -0.943185
-0.52, -0.914609
-0.51, -0.886597
-0.5, -0.859141
-0.49, -0.832228
-0.48, -0.805848
-0.47, -0.779991
-0.46, -0.754645
-0.45, -0.729802
-0.44, -0.70545
-0.43, -0.68158
-0.42, -0.658183
-0.41, -0.63525
-0.4, -0.61277
-0.39, -0.590736
-0.38, -0.569138
-0.37, -0.547968
-0.36, -0.527217
-0.35, -0.506876
-0.34, -0.486939
-0.33, -0.467396
-0.32, -0.44824
-0.31, -0.429464
-0.3, -0.411059
-0.29, -0.393019
-0.28, -0.375336
-0.27, -0.358003
-0.26, -0.341014
-0.25, -0.324361
-0.24, -0.308037
-0.23, -0.292037
-0.22, -0.276354
-0.21, -0.260981
-0.2, -0.245912
-0.19, -0.231142
-0.18, -0.216665
-0.17, -0.202474
-0.16, -0.188564
-0.15, -0.174929
-0.14, -0.161565
-0.13, -0.148465
-0.12, -0.135625
-0.11, -0.123038
-0.1, -0.110701
-0.09, -0.0986087
-0.08, -0.0867554
-0.07, -0.0751369
-0.06, -0.0637484
-0.05, -0.0525855
-0.04, -0.0416435
-0.03, -0.0309183
-0.02, -0.0204054
-0.01, -0.0101007
0, 0
0.01, 0.00990066
0.02, 0.0196053
0.03, 0.0291177
0.04, 0.0384418
0.05, 0.0475813
0.06, 0.0565398
0.07, 0.0653209
0.08, 0.0739281
0.09, 0.0823649
0.1, 0.0906346
0.11, 0.0987406
0.12, 0.106686
0.13, 0.114474
0.14, 0.122108
0.15, 0.129591
0.16, 0.136925
0.17, 0.144115
0.18, 0.151162
0.19, 0.158069
0.2, 0.16484
0.21, 0.171477
0.22, 0.177982
0.23, 0.184358
0.24, 0.190608
0.25, 0.196735
0.26, 0.20274
0.27, 0.208626
0.28, 0.214395
0.29, 0.220051
0.3, 0.225594
0.31, 0.231028
0.32, 0.236354
0.33, 0.241574
0.34, 0.246692
0.35, 0.251707
0.36, 0.256624
0.37, 0.261443
0.38, 0.266167
0.39, 0.270797
0.4, 0.275336
0.41, 0.279784
0.42, 0.284145
0.43, 0.288419
0.44, 0.292609
0.45, 0.296715
0.46, 0.30074
0.47, 0.304686
0.48, 0.308554
0.49, 0.312344
0.5, 0.31606
0.51, 0.319703
0.52, 0.323273
0.53, 0.326772
0.54, 0.330202
0.55, 0.333564
0.56, 0.33686
0.57, 0.34009
0.58, 0.343257
0.59, 0.346361
0.6, 0.349403
0.61, 0.352385
0.62, 0.355308
0.63, 0.358173
0.64, 0.360981
0.65, 0.363734
0.66, 0.366432
0.67, 0.369077
0.68, 0.37167
0.69, 0.374211
0.7, 0.376702
0.71, 0.379143
0.72, 0.381536
0.73, 0.383882
0.74, 0.386181
0.75, 0.388435
0.76, 0.390644
0.77, 0.392809
0.78, 0.394932
0.79, 0.397012
0.8, 0.399052
0.81, 0.401051
0.82, 0.40301
0.83, 0.404931
0.84, 0.406813
0.85, 0.408658
0.86, 0.410467
0.87, 0.41224
0.88, 0.413978
0.89, 0.415681
0.9, 0.417351
0.91, 0.418987
0.92, 0.420591
0.93, 0.422164
0.94, 0.423705
0.95, 0.425216
0.96, 0.426697
0.97, 0.428148
0.98, 0.429571
0.99, 0.430965
