cR, cG, cB, pR, pG, pB, Distance
Continous, Continous, Continous, Continous, Continous, Continous, Continous
237, 57, 183, 202, 222, 236, 176.802
85, 15, 239, 88, 110, 235, 95.1315
44, 110, 3, 228, 82, 9, 186.215
84, 208, 49, 195, 95, 69, 159.656
84, 13, 163, 82, 228, 127, 218.002
41, 108, 202, 108, 197, 171, 115.633
20, 186, 154, 55, 154, 240, 98.209
220, 253, 225, 145, 218, 166, 101.642
63, 169, 59, 201, 64, 165, 203.236
135, 95, 73, 103, 234, 120, 150.18
123, 154, 53, 45, 218, 67, 101.863
38, 214, 175, 153, 233, 125, 126.831
43, 23, 222, 146, 76, 207, 116.803
157, 223, 5, 1, 56, 191, 294.654
153, 236, 192, 139, 72, 228, 168.487
10, 86, 45, 165, 178, 218, 249.836
103, 231, 97, 177, 119, 51, 141.901
76, 201, 233, 244, 253, 18, 277.764
55, 209, 86, 121, 234, 58, 75.9276
211, 26, 2, 65, 15, 177, 228.171
152, 172, 138, 82, 194, 72, 98.6914
169, 91, 183, 128, 254, 166, 168.935
51, 45, 202, 3, 29, 176, 56.8859
192, 229, 104, 63, 12, 91, 252.783
55, 124, 148, 66, 68, 76, 91.8749
126, 186, 130, 230, 242, 214, 144.941
1, 42, 33, 152, 18, 53, 154.198
134, 28, 173, 50, 107, 19, 192.388
15, 114, 176, 115, 167, 192, 114.302
200, 109, 51, 238, 4, 160, 156.045
39, 180, 20, 140, 78, 187, 220.214
203, 73, 179, 244, 34, 120, 81.7496
194, 46, 128, 123, 171, 232, 177.432
56, 225, 7, 99, 83, 36, 151.175
190, 252, 145, 151, 40, 185, 219.237
170, 154, 114, 34, 217, 16, 179.078
68, 82, 155, 19, 160, 77, 120.702
181, 230, 14, 148, 116, 42, 121.939
246, 247, 56, 85, 77, 171, 260.856
52, 97, 115, 156, 111, 193, 130.752
92, 4, 14, 153, 239, 61, 247.295
214, 46, 171, 212, 237, 156, 191.599
144, 222, 224, 199, 61, 143, 188.433
234, 147, 86, 8, 116, 88, 228.125
40, 113, 216, 144, 144, 72, 180.314
106, 211, 24, 248, 185, 6, 145.479
100, 174, 18, 207, 205, 104, 140.734
70, 75, 75, 79, 173, 4, 121.351
152, 70, 107, 29, 146, 195, 169.26
242, 208, 226, 221, 201, 27, 200.227
219, 167, 139, 181, 164, 189, 62.8729
50, 71, 154, 28, 149, 217, 102.65
240, 55, 48, 138, 152, 71, 142.625
36, 133, 103, 226, 126, 48, 197.924
116, 207, 188, 167, 193, 25, 171.365
142, 104, 29, 98, 217, 80, 131.552
72, 122, 1, 198, 89, 48, 138.47
104, 54, 93, 104, 50, 193, 100.08
65, 110, 76, 50, 242, 138, 146.605
172, 52, 194, 213, 218, 195, 170.991
14, 74, 175, 225, 29, 32, 258.834
92, 138, 76, 88, 175, 233, 161.351
104, 146, 146, 204, 92, 36, 158.164
213, 86, 12, 109, 45, 243, 256.628
128, 103, 124, 145, 69, 124, 38.0132
82, 14, 16, 155, 180, 236, 285.105
165, 138, 29, 76, 247, 126, 170.912
195, 26, 145, 233, 27, 133, 39.8623
52, 147, 159, 178, 194, 236, 154.965
207, 177, 90, 161, 118, 176, 113.987
197, 109, 46, 110, 17, 50, 126.685
38, 243, 123, 72, 35, 127, 210.798
147, 20, 197, 192, 154, 221, 143.377
12, 71, 47, 220, 26, 61, 213.272
43, 146, 59, 82, 201, 95, 76.433
34, 247, 10, 79, 118, 205, 238.099
87, 55, 141, 93, 104, 1, 148.449
119, 9, 102, 68, 62, 66, 81.8902
76, 24, 108, 252, 147, 40, 225.231
206, 95, 14, 8, 120, 192, 267.419
19, 201, 9, 207, 219, 203, 270.747
48, 18, 43, 211, 111, 146, 214.072
52, 93, 31, 212, 185, 52, 185.755
181, 10, 111, 63, 67, 139, 134.004
169, 158, 66, 129, 52, 246, 212.688
142, 225, 128, 8, 178, 161, 145.788
1, 137, 102, 37, 213, 45, 101.592
86, 250, 167, 6, 37, 198, 229.63
211, 12, 178, 127, 203, 253, 221.725
154, 220, 185, 103, 254, 9, 186.368
102, 2, 134, 159, 90, 68, 123.891
165, 211, 69, 48, 31, 238, 273.222
157, 111, 201, 253, 137, 161, 107.201
144, 201, 254, 245, 189, 9, 265.273
39, 247, 120, 215, 11, 170, 298.617
138, 97, 106, 215, 103, 225, 141.866
231, 164, 107, 207, 109, 104, 60.0833
100, 84, 203, 190, 81, 3, 219.338
161, 217, 105, 196, 128, 23, 125.976
95, 16, 77, 216, 229, 100, 246.047
230, 144, 111, 239, 8, 27, 160.103
57, 142, 113, 81, 139, 251, 140.104
65, 219, 60, 66, 166, 69, 53.768
117, 116, 184, 83, 183, 158, 79.5047
162, 153, 31, 252, 3, 70, 179.223
233, 107, 148, 65, 52, 29, 213.096
10, 119, 4, 144, 62, 115, 183.101
141, 193, 139, 47, 175, 157, 97.3858
